Ticekr,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,13/12/2011,56.142857,56.485714,55.299999,55.544285,48.329144,84732200
AAPL,14/12/2011,55.242859,55.34,53.954285,54.312859,47.257664,101721900
AAPL,15/12/2011,54.761429,54.82,54.044285,54.134285,47.102306,64050000
AAPL,16/12/2011,54.337143,54.878571,54.224285,54.431427,47.36084,105369600
AAPL,19/12/2011,54.638573,54.978573,54.354286,54.601429,47.508759,58882600
AAPL,20/12/2011,55.394287,56.585712,55.322857,56.564285,49.216629,84303800
AAPL,21/12/2011,56.669998,56.757141,56.001427,56.635715,49.278793,65737000
AAPL,22/12/2011,56.714287,57.01857,56.585712,56.935715,49.539814,50589700
AAPL,23/12/2011,57.098572,57.655716,57.07,57.618572,50.133961,67349800
AAPL,27/12/2011,57.585712,58.441429,57.574287,58.075714,50.531731,66269000
AAPL,28/12/2011,58.127144,58.32143,57.334286,57.52,50.04821,57165500
AAPL,29/12/2011,57.628571,57.950001,57.215714,57.874287,50.35648,53994500
AAPL,30/12/2011,57.644287,58.040001,57.64143,57.857143,50.341557,44915500
AAPL,3/01/2012,58.485714,58.92857,58.42857,58.747143,51.115936,75555200
AAPL,4/01/2012,58.57143,59.240002,58.468571,59.062859,51.390648,65005500
AAPL,5/01/2012,59.278572,59.792858,58.952858,59.718571,51.961189,67817400
AAPL,6/01/2012,59.967144,60.392857,59.888573,60.342857,52.504375,79573200
AAPL,9/01/2012,60.785713,61.107143,60.192856,60.247143,52.421093,98506100
AAPL,10/01/2012,60.844284,60.857143,60.214287,60.462856,52.608791,64549100
AAPL,11/01/2012,60.382858,60.407143,59.901428,60.364285,52.523026,53771200
AAPL,12/01/2012,60.325714,60.414288,59.82143,60.19857,52.378838,53146800
AAPL,13/01/2012,59.957142,60.064285,59.808571,59.972858,52.182446,56505400
AAPL,17/01/2012,60.599998,60.855713,60.422855,60.671429,52.790268,60724300
AAPL,18/01/2012,60.994286,61.352856,60.900002,61.30143,53.338432,69197800
AAPL,19/01/2012,61.450001,61.624287,60.93,61.107143,53.169384,65434600
AAPL,20/01/2012,61.07,61.07143,59.964287,60.042858,52.243343,103493600
AAPL,23/01/2012,60.381428,61.207142,60.328571,61.058571,53.127125,76515600
AAPL,24/01/2012,60.728573,60.728573,59.935715,60.058571,52.257015,136909500
AAPL,25/01/2012,64.919998,64.921425,63.389999,63.808571,55.519905,239578500
